相关 (xiāngguān)	有关系的	这个数据不相关。(Zhège shùjù bù xiāngguān.)	relacionado, pertinente	b2 adj awl
可行 (kěxíng)	能够实行	这个方案不可行。(Zhège fāng'àn bù kěxíng.)	viable	b2 adj awl
不可避免 (bùkě bìmiǎn)	一定会发生	冲突不可避免。(Chōngtū bùkě bìmiǎn.)	inevitable	b2 adj chunk
不可缺少 (bùkě quēshǎo)	绝对必要	你的参与不可缺少。(Nǐ de cānyù bùkě quēshǎo.)	imprescindible	b2 adj chunk
有争议 (yǒu zhēngyì)	引起不同意见	这个决定很有争议。(Zhège juédìng hěn yǒu zhēngyì.)	polémico	b2 adj chunk
微妙 (wēimiào)	细小而难说清	两者有微妙的差别。(Liǎngzhě yǒu wēimiào de chābié.)	sutil	b2 adj
模糊 (móhu)	不清楚，有多种理解	回答很模糊。(Huídá hěn móhu.)	ambiguo, vago	b2 adj awl
一致 (yízhì)	没有矛盾	论点前后一致。(Lùndiǎn qiánhòu yízhì.)	coherente, unánime	b2 adj awl
潜在 (qiánzài)	存在但没显出来	有潜在的问题。(Yǒu qiánzài de wèntí.)	subyacente, potencial	b2 adj awl
根深蒂固 (gēnshēn-dìgù)	扎得很深，难改变	这是根深蒂固的习惯。(Zhè shì gēnshēn-dìgù de xíguàn.)	arraigado	b2 idiom
初步 (chūbù)	刚开始的阶段	这只是初步结果。(Zhè zhǐ shì chūbù jiéguǒ.)	inicial, preliminar	b2 adj awl
巩固 (gǒnggù)	使更稳定	公司巩固了地位。(Gōngsī gǒnggù le dìwèi.)	consolidar	b2 verb awl
归因于 (guīyīn yú)	认为是某个原因造成	他们把错误归因于匆忙。(Tāmen bǎ cuòwù guīyīn yú cōngmáng.)	atribuir a	b2 verb awl chunk
导致 (dǎozhì)	带来某个结果	改动导致了成本上升。(Gǎidòng dǎozhì le chéngběn shàngshēng.)	provocar, conllevar	b2 verb awl
触发 (chūfā)	引起一连串反应	消息触发了抗议。(Xiāoxi chūfā le kàngyì.)	desencadenar	b2 verb
缓解 (huǎnjiě)	使程度减轻	采取措施缓解影响。(Cǎiqǔ cuòshī huǎnjiě yǐngxiǎng.)	mitigar	b2 verb awl
离不开 (lí bu kāi)	不能没有	我们离不开她。(Wǒmen lí bu kāi tā.)	no poder prescindir de	b2 verb chunk
生效 (shēngxiào)	开始有法律效力	新规二〇二四年生效。(Xīn guī 2024 nián shēngxiào.)	entrar en vigor	b2 verb civic
前提 (qiántí)	先要成立的条件	这个前提是错的。(Zhège qiántí shì cuò de.)	premisa, presupuesto	b2 noun awl
证实 (zhèngshí)	确认是事实	我们证实了改善。(Wǒmen zhèngshí le gǎishàn.)	constatar, confirmar	b2 verb awl
排除 (páichú)	去掉一种可能	我们排除了这个假设。(Wǒmen páichú le zhège jiǎshè.)	descartar	b2 verb awl
优先 (yōuxiān)	放在前面考虑	文章优先考虑清晰。(Wénzhāng yōuxiān kǎolǜ qīngxī.)	priorizar	b2 verb awl
支撑 (zhīchēng)	给以支持	数据支撑这个论点。(Shùjù zhīchēng zhège lùndiǎn.)	respaldar	b2 verb
质疑 (zhìyí)	提出怀疑	这让人质疑我们的选择。(Zhè ràng rén zhìyí wǒmen de xuǎnzé.)	poner en cuestión	b2 verb
方式 (fāngshì)	做事的办法	这种方式很创新。(Zhè zhǒng fāngshì hěn chuàngxīn.)	enfoque, modo	b2 noun awl
领域 (lǐngyù)	活动的范围	在法律领域不一样。(Zài fǎlǜ lǐngyù bù yíyàng.)	ámbito, campo	b2 noun awl
偏差 (piānchā)	和标准不一致	样本有偏差。(Yàngběn yǒu piānchā.)	sesgo, desviación	b2 noun awl
空白 (kòngbái)	没有填上的地方	法律上有空白。(Fǎlǜ shang yǒu kòngbái.)	laguna, vacío	b2 noun awl
保留 (bǎoliú)	留下不改；有条件同意	我同意，但有保留。(Wǒ tóngyì, dàn yǒu bǎoliú.)	reserva; reservar	b2 noun
范围 (fànwéi)	所能到的界限	措施的范围有限。(Cuòshī de fànwéi yǒuxiàn.)	alcance	b2 noun awl
障碍 (zhàng'ài)	阻挡的东西	官僚是一个障碍。(Guānliáo shì yí ge zhàng'ài.)	obstáculo	b2 noun
局面 (júmiàn)	整体的状况	经济局面好转了。(Jīngjì júmiàn hǎozhuǎn le.)	panorama, situación	b2 noun
趋势 (qūshì)	可能的走向	趋势是下降。(Qūshì shì xiàjiàng.)	tendencia	b2 noun awl
迹象 (jìxiàng)	可以看出的痕迹	有欺诈的迹象。(Yǒu qīzhà de jìxiàng.)	indicio	b2 noun
手续 (shǒuxù)	办事要走的步骤	手续很复杂。(Shǒuxù hěn fùzá.)	trámite	b2 noun civic
意见 (yìjiàn)	看法；正式的意见	依我的意见，风险太大。(Yī wǒ de yìjiàn…)	opinión; dictamen	b2 noun hsk4
利害关系 (lìhài guānxi)	所牵涉的得失	利害关系很大。(Lìhài guānxi hěn dà.)	lo que está en juego	b2 noun chunk
兴起 (xīngqǐ)	快速发展起来	远程办公的兴起。(Yuǎnchéng bàngōng de xīngqǐ.)	auge	b2 noun
说实话 (shuō shíhuà)	坦率地说	说实话，我不相信。(Shuō shíhuà, wǒ bù xiāngxìn.)	a decir verdad	b2 chunk
总之 (zǒngzhī)	概括起来说	总之，计划成功了。(Zǒngzhī, jìhuà chénggōng le.)	en resumen	b2 conj
至于 (zhìyú)	谈到另一方面	至于预算，还要再看。(Zhìyú yùsuàn, hái yào zài kàn.)	en cuanto a	b2 prep
而 (ér)	表示对比或连接（书面）	一个上升，而另一个下降。(Yí ge shàngshēng, ér lìng yí ge xiàjiàng.)	mientras que; y	b2 conj grammar
鉴于 (jiànyú)	考虑到	鉴于时间紧，我们决定了。(Jiànyú shíjiān jǐn…)	teniendo en cuenta	b2 conj
由于 (yóuyú)	因为（书面）	由于下雨，比赛取消。(Yóuyú xià yǔ, bǐsài qǔxiāo.)	debido a	b2 conj
